trial_num	block_num	trialType	question	options	minimumDuration	source	questionID	english
19	3	radio	您认为自己有很好的方向感吗？ 	完全没有||||非常好	1.5	Questionnaire on Spatial Representation (Pazzaglia et al., 2000)	sense_direction_self	Do you think you have a good sense of direction?
20	3	radio	您的家人或朋友认为您有很好的方向感吗？	完全没有||||非常好	1.5	Questionnaire on Spatial Representation (Pazzaglia et al., 2000)	sense_direction_others	Are you considered by your family or friends to have a good sense of direction?
21	3	radio	请想象自己身处在不同的环境中寻找方向。您会将自己描述为：一个通过记忆从一个地点到另一个地点的路线来寻找方向的人？	完全没有||||非常好	1.5	Questionnaire on Spatial Representation (Pazzaglia et al., 2000)	orient_preference1	Think about the way you orient yourself in divergent environments around you. Would you describe yourself as a person: who orients him/herself by remembering routes connecting one place to another?
22	3	radio	请想象自己身处在不同的环境中寻找方向。您会将自己描述为：一个通过寻找知名地标来寻找方向的人？	完全没有||||非常好	1.5	Questionnaire on Spatial Representation (Pazzaglia et al., 2000)	orient_preference2	Think about the way you orient yourself in divergent environments around you. Would you describe yourself as a person: who orients him/herself by looking for well-known landmarks?
23	3	radio	请想象自己身处在不同的环境中寻找方向。您会将自己描述为：一个尝试在脑中建立起环境的心理地图的人？	完全没有||||非常好	1.5	Questionnaire on Spatial Representation (Pazzaglia et al., 2000)	orient_preference3	Think about the way you orient yourself in divergent environments around you. Would you describe yourself as a person: who tries to create a mental map of the environment?
24	3	textShort	请想出一个不熟悉的城市，并写下城市名:	请在此输入	1.5	Questionnaire on Spatial Representation (Pazzaglia et al., 2000)	name_city	Think of an unfamiliar city. Write the name 
25	3	radio	请给您对这个城市的印象归类：查印象，您有对这个城市的地图式印象。	完全没有||||非常好	1.5	Questionnaire on Spatial Representation (Pazzaglia et al., 2000)	city_classification1	Now try to classify your representation of the city: survey representation, that is a map-like representation 
26	3	radio	请给您对这个城市的印象归类：路线印象，基于记忆路线。	完全没有||||非常好	1.5	Questionnaire on Spatial Representation (Pazzaglia et al., 2000)	city_classification2	Now try to classify your representation of the city: route representation, based on memorising routes
27	3	radio	请给您对这个城市的印象归类：地标印象，基于记忆显著的地标（例如纪念碑、大厦、十字路口等）	完全没有||||非常好	1.5	Questionnaire on Spatial Representation (Pazzaglia et al., 2000)	city_classification3	Now try to classify your representation of the city: landmark-centred representation, based on memorising single salient landmarks (such as monuments, buildings, crossroads, etc.)
28	3	radio	当您身处一个自然宽阔的环境时（如山间、海边、乡村等），您是否会自然产生东南西北的方位感？	完全没有||||非常好	1.5	Questionnaire on Spatial Representation (Pazzaglia et al., 2000)	cardinal_points1	When you are in a natural, open environment (mountains, seaside, country) do you naturally individuate cardinal points, that is where north, south, east, and west are?
29	3	radio	当您身处自己的城市时，您是否会自然产生东南西北的方位感？ 	完全没有||||非常好	1.5	Questionnaire on Spatial Representation (Pazzaglia et al., 2000)	cardinal_points2	When you are in your city do you naturally individuate cardinal points, that is do you understand easily where north, south, east, and west are?
30	3	radio	有人在向您描述去往一个不熟悉的地点的路线。您更倾向于：构建一张路线图	完全没有||||非常好	1.5	Questionnaire on Spatial Representation (Pazzaglia et al., 2000)	route_description1	Someone is describing for you the route to reach an unfamiliar place. Do you prefer: to make an image of the route?
31	3	radio	有人在向您描述去往一个不熟悉的地点的路线。您更倾向于：记住描述的语言	完全没有||||非常好	1.5	Questionnaire on Spatial Representation (Pazzaglia et al., 2000)	route_description2	Someone is describing for you the route to reach an unfamiliar place. Do you prefer: to remember the description verbally?
32	3	radio	当您身处一栋复杂的建筑物里（如商店、博物馆等），您会自然而然地想到您在建筑物结构和外部环境中的相对位置吗？	完全没有||||非常好	1.5	Questionnaire on Spatial Representation (Pazzaglia et al., 2000)	complex_building_direction	In a complex building (store, museum) do you think spontaneously and easily about your direction in relation to the general structure of the building and the external environment?
33	3	radio	当您身处一栋建筑物里时，您能够轻易想象您看的那个方向上建筑物外有什么吗？	完全没有||||非常好	1.5	Questionnaire on Spatial Representation (Pazzaglia et al., 2000)	visualise_outside	When you are inside a building can you easily visualise what there is outside the building in the direction you are looking?
34	3	dropdown	当您身处开放空间并被要求指出东南西北的方位时，您会：	立刻指出|思考后指出|有些困难	1.5	Questionnaire on Spatial Representation (Pazzaglia et al., 2000)	compass_direction	When you are in an open space and you are required to indicate a compass direction (north-south-east-west), do you:
35	3	dropdown	您正在一栋复杂的建筑物里，有很多门、台阶和走廊，您需要指出出口在哪，您会：	立刻指出|思考后指出|有些困难	1.5	Questionnaire on Spatial Representation (Pazzaglia et al., 2000)	complex_building_entrance	You are in a complex building (many doors, stairs, corridors) and you have to indicate where the entrance is, do you:
36	4	message	以下陈述将询问您的在空间和导航上的能力、偏好和经验。在每个陈述之后，请您圈出一个数字，以表明您对陈述的同意程度。如果您非常同意该陈述适用于您，请圈出“1”；如果您非常不同意，请圈出“7”，或者如果您同意程度介于中间，请圈出相应的某个数字；如果您既不同意也不反对，请圈选“4”	NA	3	SANTA BARBARA SENSE-OF-DIRECTION SCALE	NA	The following statements ask you about your spatial and navigational abilities, preferences, and experiences. After each statement, you should circle a number to indicate your level of agreement with the statement. Circle "1" if you strongly agree that the statement applies to you, "7" if you strongly disagree, or some number in between if your agreement is intermediate. Circle "4" if you neither agree nor disagree.
37	4	radio	我很擅长指出方向。	1\n强烈同意|2|3|4|5|6|7\n强烈不同意	1.5	SANTA BARBARA SENSE-OF-DIRECTION SCALE	good_directions	I am very good at giving directions.
38	4	radio	我常常忘记把东西放在哪里。	1\n强烈同意|2|3|4|5|6|7\n强烈不同意	1.5	SANTA BARBARA SENSE-OF-DIRECTION SCALE	poor_memory	I have a poor memory for where I left things.
39	4	radio	我很擅长判断距离。	1\n强烈同意|2|3|4|5|6|7\n强烈不同意	1.5	SANTA BARBARA SENSE-OF-DIRECTION SCALE	judging_distances	I am very good at judging distances.
40	4	radio	我的“方向感”很好。	1\n强烈同意|2|3|4|5|6|7\n强烈不同意	1.5	SANTA BARBARA SENSE-OF-DIRECTION SCALE	sense_direction_good	My "sense of direction" is very good.
41	4	radio	我倾向于在对我所处环境进行思考时依照罗盘方位（东南西北）。	1\n强烈同意|2|3|4|5|6|7\n强烈不同意	1.5	SANTA BARBARA SENSE-OF-DIRECTION SCALE	cardinal_directions	I tend to think of my environment in terms of cardinal directions (N, S, E, W).
42	4	radio	在一个新的城市中我很容易迷路。	1\n强烈同意|2|3|4|5|6|7\n强烈不同意	1.5	SANTA BARBARA SENSE-OF-DIRECTION SCALE	lost_city	I very easily get lost in a new city.
43	4	radio	我很乐于阅读地图。	1\n强烈同意|2|3|4|5|6|7\n强烈不同意	1.5	SANTA BARBARA SENSE-OF-DIRECTION SCALE	enjoy_maps	I enjoy reading maps.
44	4	radio	我对于了解方向存在困难。	1\n强烈同意|2|3|4|5|6|7\n强烈不同意	1.5	SANTA BARBARA SENSE-OF-DIRECTION SCALE	trouble_understanding	I have trouble understanding directions.
45	4	radio	我非常善于阅读地图。	1\n强烈同意|2|3|4|5|6|7\n强烈不同意	1.5	SANTA BARBARA SENSE-OF-DIRECTION SCALE	good_at_maps	I am very good at reading maps.
46	4	radio	当作为乘客搭乘汽车时，我很难记住路线。	1\n强烈同意|2|3|4|5|6|7\n强烈不同意	1.5	SANTA BARBARA SENSE-OF-DIRECTION SCALE	route_as_passenger	I don't remember routes very well while riding as a passenger in a car.
47	4	radio	我并不喜欢指出方向。	1\n强烈同意|2|3|4|5|6|7\n强烈不同意	1.5	SANTA BARBARA SENSE-OF-DIRECTION SCALE	giving_directions	I don’t enjoy giving directions.
48	4	radio	对我而言，知道自己在哪里不是很重要。	1\n强烈同意|2|3|4|5|6|7\n强烈不同意	1.5	SANTA BARBARA SENSE-OF-DIRECTION SCALE	where_I_am	It's not important to me to know where I am.
49	4	radio	在长途旅行中，我通常会让其他人来做导航与路线规划。	1\n强烈同意|2|3|4|5|6|7\n强烈不同意	1.5	SANTA BARBARA SENSE-OF-DIRECTION SCALE	navigational_planning	I usually let someone else do the navigational planning for long trips.
50	4	radio	我常常可以在只去过一次的情况下记住一条新的路线。	1\n强烈同意|2|3|4|5|6|7\n强烈不同意	1.5	SANTA BARBARA SENSE-OF-DIRECTION SCALE	new_route	I can usually remember a new route after I have traveled it only once.
51	4	radio	对于我身处的环境，我没有一个很好的“心理地图”。	1\n强烈同意|2|3|4|5|6|7\n强烈不同意	1.5	SANTA BARBARA SENSE-OF-DIRECTION SCALE	mental_maps	I don’t have a very good “mental map” of my environment.
52	5	dropdown	您在学习配对图像时是否有被打断？	是|否|偶尔	1.5	debrief	interruptions	Did you have any interruptions while learning the image pairs?
53	5	dropdown	您使用的是哪个操作系统？	Windows|Mac	1.5	debrief	OS	Which operating system are you using?
54	5	dropdown	您用的是什么类型的指针设备？	鼠标|触摸板|其他	1.5	debrief	pointing_device	What kind of pointing device did you use?
55	5	dropdown	大多数时候您用哪只手来完成任务？	右|左|双手均可	1.5	debrief	hand	Which hand to you use to complete the tasks most of the time?
56	5	dropdown	在任务期间，您能听到声音吗？	是|否|偶尔	1.5	debrief	sounds	During the tasks, were you able to hear sounds?
57	5	message	现在我们将向您询问一些关于是否遵守说明的问题。请注意，无论您如何回答这些问题，您都将获得报酬。但为了确保尽可能好的数据质量，请您如实回答。	NA	3	debrief	NA	Now, we will ask you a few questions about compliance with the instructions. Note that you will be paid no matter how you answer these questions. However, we want to ensure the highest data quality possible so please answer truthfully.
58	5	dropdown	您是否观看了详细说明如何操作的视频？	是|否|绝大部分	1.5	debrief	video	Did you watch the video detailing what to do?
59	5	radio	您在任务进行中完全集中精力在完成。	同意|不确定|不同意	1.5	debrief	concentration	You were fully concentrated during the tasks. 
60	5	radio	你已经尽力去完成了任务。	同意|不确定|不同意	1.5	debrief	abilities	You tried to complete the task to the best of your abilities.
61	5	radio	您并没有真正按照说明进行操作，因为您只是想快速完成。	同意|不确定|不同意	1.5	debrief	follow_instructions	You did not really follow the instructions because you simply wanted to get it done quickly.
62	5	checkmark	您在完成任务时参与了以下活动（可以选择多个选项）。	看视频或电视|听音乐|玩手游|与他人聊天|其他	1.5	debrief	other_activities	You engaged in following activities while completing the task (you can choose multiple options). 
63	5	textShort	如果您在上一个问题上选择了“其他”，请解释：	请在此输入	1.5	debrief	other_activities_explanation	If you said other on the previous question. Please explain:
64	5	slider	总的来说，您认为主要任务（OLM/竞技场）是有趣的。	非常同意|完全不同意	1.5	debrief	OLM_interesting	Overall, you found the main (OLM/arena) task interesting.
65	5	slider	总体而言，您认为主要任务（OLM/竞技场）是令人兴奋的。	非常同意|完全不同意	1.5	debrief	OLM_exciting	Overall, you found the main (OLM/arena)  task exciting
66	5	slider	总体而言，您认为主要任务（OLM/竞技场）是困难的。	非常同意|完全不同意	1.5	debrief	OLM_difficult	Overall, you found the main (OLM/arena)  task difficult.
67	5	slider	总的来说，您认为主要任务（OLM/竞技场）是让人挫败的。	非常同意|完全不同意	1.5	debrief	OLM_frustrating	Overall, you found the main task (OLM/arena)  frustrating.
68	5	slider	在将来我愿意参与更多类似的任务。	非常同意|完全不同意	1.5	debrief	more_tasks	I would do more of these tasks in the future.
69	5	numberInterger	您做了多少次暂停？	请输入整数	1.5	debrief	pauses	How many pauses did you make?
70	5	message	现在，您可以向我们提供有关该任务的反馈。请随时向我们提供您的任何反馈。	NA	3	debrief	NA	Now, you have the opportunity to give us feedback about the task. Again feel free to give us any feedback you like. 
71	5	textLong	在任务中您有遇到什么问题吗？	请在此输入	1.5	debrief	problems	Did you have any problems?
72	5	textLong	我们有什么可以改进的地方？	请在此输入	1.5	debrief	improvement	What can we improve?
73	5	textLong	是否还有其他的反馈？	请在此输入	1.5	debrief	feedback	Any other feedback?
